,carat,x_dimension,y_dimension,z_dimension,depth,table,price,cut_encoded,clarity_encoded,color_encoded
0,0.5,5.1,5.15,3.2,61.5,59.0,3000.0,4.0,5.0,6.0
1,0.7,5.7,5.15,3.52,62.0,59.0,4500.0,3.0,3.0,5.0
2,0.7,4.3,4.31,3.52,62.3,56.0,700.0,1.0,2.0,2.0
3,1.2,4.3,6.82,4.2,61.7,58.0,10000.0,4.0,5.0,6.0
4,0.9,6.0,6.82,3.7,61.7,58.0,2400.0,0.0,0.0,0.0
5,0.9,5.9,5.92,3.63,61.7,57.0,4200.0,2.0,1.0,3.0
6,0.5,5.1,5.92,3.2,61.5,57.0,3100.0,4.0,5.0,6.0
7,0.4,4.8,4.79,2.95,61.5,57.0,1500.0,1.0,4.0,4.0
8,1.0,6.4,4.79,4.0,61.5,58.0,7500.0,4.0,4.0,4.0
9,0.5,6.4,5.21,3.21,61.6,58.0,10012.5,3.0,1.0,7.0
10,0.4,4.9,4.88,3.21,61.2,56.0,1400.0,2.0,3.0,3.0
11,0.4,5.7,5.71,3.54,61.2,54.0,2000.0,0.0,2.0,0.0
12,1.1,6.6,5.71,4.08,61.2,57.0,9200.0,3.0,4.0,5.0
13,0.55,5.3,5.29,4.08,62.0,57.0,1800.0,1.0,2.0,2.0
14,0.55,4.4,4.39,2.69,61.3,57.0,4919.149,1.0,3.0,1.0
15,0.5,5.2,4.39,3.2,61.3,56.0,2300.0,2.0,1.0,3.0
16,1.0,6.5,6.49,3.2,61.7,58.0,11035.484,4.0,5.0,6.0
17,0.6,5.5,5.52,3.2,61.7,57.0,2200.0,1.0,2.0,2.0
18,0.7,5.5,5.79,3.57,61.6,57.0,2100.0,0.0,0.0,0.0
19,0.7,6.1,6.15,3.9,61.8,57.0,6000.0,4.0,4.0,4.0
20,1.3,6.9,6.15,4.3,63.0,60.0,10500.0,3.0,1.0,3.0
21,1.4,7.1,7.12,4.3,62.4,59.0,11000.0,1.0,5.0,6.0
22,1.4,4.6,4.58,2.85,62.4,56.0,800.0,1.0,3.0,5.0
23,1.6,7.3,7.28,4.5,62.4,54.0,3400.0,0.0,0.0,1.0
24,0.2,3.9,3.89,2.41,62.1,54.0,500.0,2.0,1.0,2.0
25,0.35,4.5,4.52,2.41,61.9,56.0,1300.0,4.0,5.0,3.0
26,0.35,4.6,4.52,2.83,62.2,57.0,1600.0,1.0,3.0,3.0
27,0.55,5.4,5.42,3.35,62.1,57.0,2500.0,3.0,0.0,0.0
28,0.55,6.7,6.71,4.15,62.1,58.0,7700.0,4.0,4.0,6.0
29,0.65,5.6,6.71,3.47,62.3,58.0,2900.0,2.0,2.0,7.0
30,1.5,7.2,7.18,3.47,62.7,59.0,10800.0,1.0,3.0,4.0
31,0.9,6.1,6.12,3.78,62.4,59.0,2600.0,0.0,2.0,2.0
32,0.9,6.9,6.12,4.27,62.2,57.0,9300.0,3.0,4.0,5.0
33,0.45,4.9,4.91,4.27,62.1,56.0,1700.0,1.0,2.0,1.0
34,0.6,5.5,5.49,4.27,62.1,58.0,2800.0,1.0,3.0,3.0
35,0.6,5.3,5.31,3.3,62.0,57.0,2700.0,2.0,1.0,4.0
36,0.95,6.3,5.31,3.9,62.6,58.0,9400.0,4.0,5.0,6.0
37,1.05,6.6,6.58,3.9,62.7,58.0,8500.0,1.0,2.0,0.0
38,1.05,5.9,6.58,3.65,61.9,55.0,2200.0,0.0,0.0,3.0
39,0.45,4.8,4.82,3.01,62.1,56.0,1500.0,4.0,2.0,2.0
40,0.45,6.2,4.82,3.84,61.9,58.0,5900.0,3.0,5.0,4.0
41,0.85,5.8,5.82,3.84,62.2,55.0,4800.0,1.0,4.0,1.0
42,0.95,6.3,6.31,3.91,62.4,55.0,7300.0,1.0,3.0,6.0
43,0.35,4.6,6.31,2.85,62.0,57.0,1400.0,2.0,5.0,3.0
44,0.55,5.4,6.31,3.35,62.3,56.0,2600.0,4.0,3.0,0.0
45,0.55,4.8,4.79,2.96,61.8,56.0,1200.0,1.0,0.0,6.0
46,1.05,6.7,6.69,4.13,61.8,58.0,9500.0,3.0,4.0,4.0
47,0.75,5.7,5.71,4.13,62.5,57.0,3800.0,1.0,2.0,3.0
48,0.65,5.6,5.58,3.48,62.6,57.0,3300.0,2.0,1.0,7.0
49,1.4,7.1,5.58,4.39,62.7,59.0,11200.0,1.0,3.0,2.0
50,0.3,4.4,4.41,4.39,62.1,55.0,600.0,0.0,0.0,1.0
51,0.5,5.2,5.22,4.39,62.1,58.0,2900.0,3.0,4.0,5.0
52,1.3,6.9,5.22,4.26,62.3,57.0,9900.0,1.0,2.0,4.0
53,1.3,6.8,6.81,4.21,62.3,59.0,8100.0,1.0,3.0,6.0
54,0.4,4.8,4.78,2.96,62.2,59.0,1400.0,2.0,1.0,0.0
55,1.15,6.5,4.78,4.02,62.0,58.0,9800.0,4.0,5.0,3.0
56,1.15,5.9,5.88,3.63,62.4,58.0,2100.0,1.0,0.0,2.0
57,0.55,5.3,5.88,3.29,62.1,54.0,1700.0,0.0,2.0,1.0
58,0.6,5.6,5.58,3.48,62.1,57.0,3700.0,3.0,3.0,6.0
59,0.6,6.1,6.12,3.48,62.1,59.0,5000.0,2.0,1.0,4.0
60,0.35,4.5,4.52,2.79,62.0,59.0,900.0,4.0,0.0,3.0
61,0.75,5.8,5.81,2.79,62.3,56.0,4600.0,1.0,4.0,2.0
62,0.75,5.9,5.81,3.64,62.2,54.0,2500.0,0.0,2.0,5.0
63,1.05,6.6,6.59,4.09,62.2,58.0,9600.0,3.0,5.0,1.0
64,0.4,4.7,4.69,2.91,62.1,58.0,1800.0,1.0,3.0,0.0
65,0.55,5.3,4.69,3.28,62.4,57.0,2300.0,2.0,0.0,3.0
66,0.55,6.8,6.79,4.21,62.2,57.0,7900.0,4.0,4.0,2.0
67,0.7,5.7,5.69,3.53,62.5,57.0,4000.0,1.0,2.0,6.0
68,0.9,6.2,6.22,3.53,62.3,59.0,6600.0,3.0,1.0,7.0
69,0.5,5.2,6.22,3.22,62.6,58.0,3100.0,1.0,3.0,4.0
70,0.45,4.8,4.81,2.98,62.6,54.0,1100.0,0.0,0.0,1.0
71,1.2,6.8,4.81,4.2,62.7,58.0,10200.0,3.0,4.0,5.0
72,0.65,5.6,5.59,3.47,62.7,57.0,3500.0,1.0,2.0,3.0
73,0.55,5.4,5.59,3.34,62.4,56.0,2800.0,2.0,3.0,6.0
74,1.3,6.9,6.92,3.34,62.8,59.0,9900.0,4.0,1.0,2.0
75,0.75,5.9,6.92,3.65,62.5,57.0,4700.0,1.0,5.0,4.0
76,0.75,6.0,6.92,3.71,62.6,55.0,2600.0,0.0,0.0,5.0
77,0.5,5.1,6.92,3.17,62.1,56.0,2200.0,2.0,2.0,1.0
78,0.85,6.0,6.03,3.73,62.1,58.0,6500.0,3.0,3.0,5.0
79,0.85,5.7,6.03,3.56,62.4,56.0,1900.0,4.0,0.0,3.0
80,1.1,6.6,6.58,3.56,62.5,54.0,7100.0,0.0,2.0,2.0
81,1.1,6.3,6.32,3.92,62.5,57.0,7800.0,1.0,4.0,6.0
82,0.9,6.2,6.32,3.85,62.2,59.0,6700.0,2.0,1.0,1.0
83,0.5,5.2,5.23,3.85,62.1,58.0,3200.0,3.0,3.0,4.0
84,0.5,5.5,5.23,3.41,62.3,56.0,2400.0,1.0,0.0,7.0
85,0.4,4.7,4.69,2.91,62.3,57.0,2600.0,4.0,5.0,3.0
86,1.15,6.7,6.71,4.14,62.6,57.0,9200.0,0.0,3.0,2.0
87,0.7,5.7,5.68,3.53,62.7,58.0,4100.0,3.0,1.0,1.0
88,0.65,5.6,5.57,3.53,62.4,56.0,3600.0,1.0,4.0,6.0
89,1.25,6.8,5.57,4.21,62.4,59.0,10300.0,4.0,5.0,3.0
90,0.55,5.3,5.57,3.28,62.1,54.0,2300.0,0.0,0.0,4.0
91,0.6,5.5,5.49,3.28,62.2,57.0,3400.0,3.0,2.0,5.0
92,0.75,5.9,5.88,3.65,62.3,57.0,4400.0,2.0,1.0,1.0
93,1.4,7.1,5.88,4.4,62.7,58.0,11500.0,3.0,4.0,5.0
94,1.4,5.9,5.89,4.4,62.8,55.0,2500.0,1.0,0.0,4.0
